"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","new_species"
"Alnus rubra","Alnus","","rubra",NA,NA,"","","kew-6584",TRUE,"1.1","Accepted","Betulaceae","Alnus","","rubra","","","Bong.","kew-6584","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Alnus_rubra"
"Acer rubrum","Acer","","rubrum",NA,NA,"","","kew-2616329",TRUE,"1.1","Accepted","Sapindaceae","Acer","","rubrum","","","L.","kew-2616329","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Acer_rubrum"
"Quercus prinus","Quercus","","prinus",NA,NA,"","","kew-174525",TRUE,"1.1","Synonym","Fagaceae","Quercus","","michauxii","","","Nutt.","kew-173929","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Quercus_michauxii"
"Malus domestica","Malus","","domestica",NA,NA,"","","rjp-454",TRUE,"1.1","Accepted","Rosaceae","Malus","","domestica","","","Borkh.","rjp-454","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Malus_domestica"
"Acer saccharinum","Acer","","saccharinum",NA,NA,"","","kew-2616367",TRUE,"1.1","Accepted","Sapindaceae","Acer","","saccharinum","","","L.","kew-2616367","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Acer_saccharinum"
"Castanea sativa","Castanea","","sativa",NA,NA,"","","kew-35042",TRUE,"1.1","Accepted","Fagaceae","Castanea","","sativa","","","Mill.","kew-35042","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Castanea_sativa"
"Citrus sinensis","Citrus","","sinensis",NA,NA,"","","tro-50149358",TRUE,"1.1","Accepted","Rutaceae","Citrus","","sinensis","","","(L.) Osbeck","tro-50149358","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Citrus_sinensis"
"Pinus radiata","Pinus","","radiata",NA,NA,"","","kew-2562495",TRUE,"1.1","Accepted","Pinaceae","Pinus","","radiata","","","D.Don","kew-2562495","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Pinus_radiata"
"Nothofagus fusca","Nothofagus","","fusca",NA,NA,"","","kew-135768",TRUE,"1.1","Accepted","Nothofagaceae","Nothofagus","","fusca","","","(Hook.f.) Oerst.","kew-135768","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Nothofagus_fusca"
"Pseudotsuga menziesii","Pseudotsuga","","menziesii",NA,NA,"","","kew-2556763",TRUE,"1.1","Accepted","Pinaceae","Pseudotsuga","","menziesii","","","(Mirb.) Franco","kew-2556763","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Pseudotsuga_menziesii"
"Pinus echinata","Pinus","","echinata",NA,NA,"","","kew-2561909",TRUE,"1.1","Accepted","Pinaceae","Pinus","","echinata","","","Mill.","kew-2561909","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Pinus_echinata"
"Quercus alba","Quercus","","alba",NA,NA,"","","kew-171499",TRUE,"1.1","Accepted","Fagaceae","Quercus","","alba","","","L.","kew-171499","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Quercus_alba"
"Liriodendron tulipifera","Liriodendron","","tulipifera",NA,NA,"","","kew-113859",TRUE,"1.1","Accepted","Magnoliaceae","Liriodendron","","tulipifera","","","L.","kew-113859","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Liriodendron_tulipifera"
"Betula pendula","Betula","","pendula",NA,NA,"","","kew-21582",TRUE,"1.1","Accepted","Betulaceae","Betula","","pendula","","","Roth","kew-21582","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Betula_pendula"
"Picea abies","Picea","","abies",NA,NA,"","","kew-2562738",TRUE,"1.1","Accepted","Pinaceae","Picea","","abies","","","(L.) H.Karst.","kew-2562738","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Picea_abies"
"Piper auritum","Piper","","auritum",NA,NA,"","","kew-2559109",TRUE,"1.1","Accepted","Piperaceae","Piper","","auritum","","","Kunth","kew-2559109","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Piper_auritum"
"Senna multijuga","Senna","","multijuga",NA,NA,"","","ild-1078",TRUE,"1.1","Accepted","Leguminosae","Senna","","multijuga","","","(Rich.) H.S.Irwin & Barneby","ild-1078","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Senna_multijuga"
"Myriocarpa longipes","Myriocarpa","","longipes",NA,NA,"","","kew-2507889",TRUE,"1.1","Accepted","Urticaceae","Myriocarpa","","longipes","","","Liebm.","kew-2507889","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Myriocarpa_longipes"
"Cecropia obtusifolia","Cecropia","","obtusifolia",NA,NA,"","","kew-2707088",TRUE,"1.1","Accepted","Urticaceae","Cecropia","","obtusifolia","","","Bertol.","kew-2707088","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Cecropia_obtusifolia"
"Trichospermum mexicanum","Trichospermum","","mexicanum",NA,NA,"","","kew-2518013",TRUE,"1.1","Accepted","Malvaceae","Trichospermum","","mexicanum","","","(DC.) Baill.","kew-2518013","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Trichospermum_mexicanum"
"Betula lenta","Betula","","lenta",NA,NA,"","","kew-21443",TRUE,"1.1","Accepted","Betulaceae","Betula","","lenta","","","L.","kew-21443","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Betula_lenta"
"Betula papyrifera","Betula","","papyrifera",NA,NA,"","","kew-21557",TRUE,"1.1","Accepted","Betulaceae","Betula","","papyrifera","","","Marshall","kew-21557","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Betula_papyrifera"
"Betula populifolia","Betula","","populifolia",NA,NA,"","","kew-21620",TRUE,"1.1","Accepted","Betulaceae","Betula","","populifolia","","","Marshall","kew-21620","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Betula_populifolia"
"Betula alleghaniensis","Betula","","alleghaniensis",NA,NA,"","","kew-21135",TRUE,"1.1","Accepted","Betulaceae","Betula","","alleghaniensis","","","Britton","kew-21135","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Betula_alleghaniensis"
